rcept_no,corp_name,stock_code,listing_dt,offering_price_final,first_day_open,first_day_high,first_day_low,first_day_close,first_day_volume,first_day_change_pct,collected_at
20251212000554,한국첨단소재,062970,20260414,,,,,,,,2026-04-26 16:34:23
20260106000369,라온피플,300120,20260324,,,,,,,,2026-04-26 16:34:14
20260123000351,캠시스,050110,20260227,,,,,,,,2026-04-26 16:34:10
20260422000627,대동기어,008830,20260116,,,,,,,,2026-04-26 16:34:02
20251226000501,트리니티항공,091810,20260113,,,,,,,,2026-04-26 16:34:17
20260424000583,디모아,016670,20260007,,,,,,,,2026-04-26 16:34:02
20260402002912,형지I&C,011080,20260006,,,,,,,,2026-04-26 16:34:06
20251103000267,에이비온,203400,20251224,,,,,,,,2026-04-26 16:34:37
20251222000268,인베니아,079950,20251212,,,,,,,,2026-04-26 16:34:20
20251114002336,코이즈,121850,20251210,,,,,,,,2026-04-26 16:34:33
20251205000529,비보존 제약,082800,20251204,,,,,,,,2026-04-26 16:34:24
20251113000843,KBI동양철관,008970,20250912,,,,,,,,2026-04-26 16:34:34
20251117000155,한온시스템,018880,20250109,,,,,,,,2026-04-26 16:34:32
20251117000125,LS전선,,20240620,,,,,,,,2026-04-26 16:34:32
20251029000297,LS전선,,20240620,,,,,,,,2026-04-26 16:34:39
20251105000041,LS전선,,20240620,,,,,,,,2026-04-26 16:34:37
20251125000454,LS전선,,20240620,,,,,,,,2026-04-26 16:34:28
20251202000174,LS전선,,20240620,,,,,,,,2026-04-26 16:34:27
20260424000811,피스피스스튜디오,,20230626,,,,,,,,2026-04-26 16:34:01
20251107000292,티엠씨,217590,20230626,,,,,,,,2026-04-26 16:34:36
20251028000207,큐리오시스,494120,20230626,,,,,,,,2026-04-26 16:34:39
20251223000517,액스비스,0011A0,20230626,,,,,,,,2026-04-26 16:34:19
20251201000570,덕양에너젠,0001A0,20230626,,,,,,,,2026-04-26 16:34:27
20260407003401,피스피스스튜디오,,20230626,,,,,,,,2026-04-26 16:34:05
20260326000932,한화솔루션,009830,20230331,,,,,,,,2026-04-26 16:34:06
20260408002360,금호건설,002990,20220510,,,,,,,,2026-04-26 16:34:04
